ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
ELK_IW,IW9,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,NA,Central,40.5064,-115.8704,NaN,38.5,NaN,NaN,11.56,-3.39,NaN,NaN,pre-OHT
FAN17EO,10EF-01,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.88,NaN,NaN,19.270604,-6.5,NaN,NaN,pre-OHT
FAN17EO,10EF-13.5,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.77,NaN,NaN,18.445868,-6.5,NaN,NaN,pre-OHT
FAN17EO,10EF-15,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.76,NaN,NaN,18.136592,-6.2,NaN,NaN,pre-OHT
FAN17EO,10EF-6,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.84,NaN,NaN,18.652052,-6.2,NaN,NaN,pre-OHT
FAN17EO,10EF-7.5,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.83,NaN,NaN,18.445868,-6.3,NaN,NaN,pre-OHT
FAN17EO,11EF-1,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.77,NaN,NaN,18.858236,-6.4,NaN,NaN,pre-OHT
FAN17EO,11EF-10,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.7,NaN,NaN,18.652052,-6.9,NaN,NaN,pre-OHT
FAN17EO,11EF-12,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.68,NaN,NaN,18.652052,-7,NaN,NaN,pre-OHT
FAN17EO,11EF-15,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.66,NaN,NaN,18.0335,-6.8,NaN,NaN,pre-OHT
FAN17EO,11EF-18,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.63,NaN,NaN,18.652052,-6.8,NaN,NaN,pre-OHT
FAN17EO,11EF-21,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.61,NaN,NaN,18.239684,-6.8,NaN,NaN,pre-OHT
FAN17EO,11EF-24,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.58,NaN,NaN,18.652052,-6.6,NaN,NaN,pre-OHT
FAN17EO,11EF-27,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.56,NaN,NaN,18.445868,-6.8,NaN,NaN,pre-OHT
FAN17EO,11EF-30,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.53,NaN,NaN,18.652052,-6.7,NaN,NaN,pre-OHT
FAN17EO,11EF-4,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.75,NaN,NaN,18.755144,-6.3,NaN,NaN,pre-OHT
FAN17EO,12EF-07,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.6,NaN,NaN,17.827316,-7.3,NaN,NaN,pre-OHT
FAN17EO,12EF-10,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.57,NaN,NaN,16.899488,-8.2,NaN,NaN,pre-OHT
FAN17EO,12EF-12,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,NA,East,42.64,-105.65,NaN,34.55,NaN,NaN,18.961328,-6.9,NaN,NaN,pre-OHT
